method,num_points,accuracy
kernel k-groups,50,0.88
k-means,70,0.814285714286
gmm,70,0.728571428571
kernel k-groups,70,0.814285714286
k-means,90,0.522222222222
gmm,90,0.522222222222
kernel k-groups,90,0.855555555556
k-means,110,0.527272727273
gmm,110,0.527272727273
kernel k-groups,110,0.9
k-means,130,0.538461538462
gmm,130,0.530769230769
kernel k-groups,130,0.815384615385
k-means,150,0.5
gmm,150,0.5
kernel k-groups,150,0.826666666667
k-means,170,0.523529411765
gmm,170,0.529411764706
kernel k-groups,170,0.794117647059
k-means,190,0.505263157895
gmm,190,0.505263157895
kernel k-groups,190,0.857894736842
k-means,210,0.542857142857
gmm,210,0.542857142857
kernel k-groups,210,0.514285714286
k-means,230,0.534782608696
gmm,230,0.560869565217
kernel k-groups,230,0.85652173913
k-means,250,0.524
gmm,250,0.52
kernel k-groups,250,0.872
k-means,270,0.5
gmm,270,0.522222222222
kernel k-groups,270,0.507407407407
k-means,290,0.51724137931
gmm,290,0.506896551724
kernel k-groups,290,0.851724137931
k-means,310,0.558064516129
gmm,310,0.554838709677
kernel k-groups,310,0.832258064516
k-means,330,0.563636363636
gmm,330,0.584848484848
kernel k-groups,330,0.563636363636
k-means,350,0.545714285714
gmm,350,0.545714285714
kernel k-groups,350,0.865714285714
k-means,370,0.548648648649
gmm,370,0.548648648649
kernel k-groups,370,0.816216216216
k-means,390,0.541025641026
gmm,390,0.54358974359
kernel k-groups,390,0.812820512821
k-means,410,0.570731707317
gmm,410,0.587804878049
kernel k-groups,410,0.856097560976
k-means,430,0.504651162791
gmm,430,0.506976744186
kernel k-groups,430,0.820930232558
k-means,450,0.511111111111
gmm,450,0.524444444444
kernel k-groups,450,0.888888888889
k-means,470,0.510638297872
gmm,470,0.51914893617
kernel k-groups,470,0.823404255319
k-means,490,0.54693877551
gmm,490,0.555102040816
kernel k-groups,490,0.869387755102
k-means,510,0.521568627451
gmm,510,0.521568627451
kernel k-groups,510,0.813725490196
k-means,530,0.522641509434
gmm,530,0.543396226415
kernel k-groups,530,0.847169811321
k-means,550,0.527272727273
gmm,550,0.543636363636
kernel k-groups,550,0.841818181818
k-means,570,0.829824561404
gmm,570,0.754385964912
kernel k-groups,570,0.873684210526
k-means,590,0.537288135593
gmm,590,0.538983050847
kernel k-groups,590,0.85593220339
k-means,610,0.504918032787
gmm,610,0.504918032787
kernel k-groups,610,0.504918032787
k-means,630,0.522222222222
gmm,630,0.533333333333
kernel k-groups,630,0.828571428571
k-means,650,0.507692307692
gmm,650,0.504615384615
kernel k-groups,650,0.507692307692
k-means,670,0.501492537313
gmm,670,0.507462686567
kernel k-groups,670,0.840298507463
k-means,690,0.530434782609
gmm,690,0.539130434783
kernel k-groups,690,0.842028985507
k-means,710,0.501408450704
gmm,710,0.504225352113
kernel k-groups,710,0.853521126761
k-means,730,0.502739726027
gmm,730,0.506849315068
kernel k-groups,730,0.853424657534
k-means,750,0.505333333333
gmm,750,0.522666666667
kernel k-groups,750,0.506666666667
k-means,770,0.501298701299
gmm,770,0.512987012987
kernel k-groups,770,0.836363636364
k-means,790,0.506329113924
gmm,790,0.510126582278
kernel k-groups,790,0.829113924051
k-means,10,0.7
gmm,10,0.7
kernel k-groups,10,0.7
k-means,30,0.9
gmm,30,0.833333333333
kernel k-groups,30,0.866666666667
k-means,50,0.68
gmm,50,0.78
kernel k-groups,50,0.76
k-means,70,0.6
gmm,70,0.6
kernel k-groups,70,0.6
k-means,90,0.577777777778
gmm,90,0.577777777778
kernel k-groups,90,0.844444444444
k-means,110,0.881818181818
gmm,110,0.772727272727
kernel k-groups,110,0.909090909091
k-means,130,0.561538461538
gmm,130,0.592307692308
kernel k-groups,130,0.9
k-means,150,0.513333333333
gmm,150,0.513333333333
kernel k-groups,150,0.513333333333
k-means,170,0.523529411765
gmm,170,0.523529411765
kernel k-groups,170,0.517647058824
k-means,190,0.857894736842
gmm,190,0.8
kernel k-groups,190,0.873684210526
k-means,210,0.552380952381
gmm,210,0.538095238095
kernel k-groups,210,0.842857142857
k-means,230,0.682608695652
gmm,230,0.504347826087
kernel k-groups,230,0.826086956522
k-means,250,0.556
gmm,250,0.564
kernel k-groups,250,0.852
k-means,270,0.544444444444
gmm,270,0.559259259259
kernel k-groups,270,0.848148148148
k-means,290,0.5
gmm,290,0.510344827586
kernel k-groups,290,0.886206896552
k-means,310,0.709677419355
gmm,310,0.506451612903
kernel k-groups,310,0.832258064516
k-means,330,0.79696969697
gmm,330,0.515151515152
kernel k-groups,330,0.836363636364
k-means,350,0.52
gmm,350,0.52
kernel k-groups,350,0.854285714286
k-means,370,0.510810810811
gmm,370,0.510810810811
kernel k-groups,370,0.848648648649
k-means,390,0.535897435897
gmm,390,0.564102564103
kernel k-groups,390,0.838461538462
k-means,410,0.541463414634
gmm,410,0.551219512195
kernel k-groups,410,0.858536585366
k-means,430,0.518604651163
gmm,430,0.518604651163
kernel k-groups,430,0.832558139535
k-means,450,0.731111111111
gmm,450,0.517777777778
kernel k-groups,450,0.826666666667
k-means,470,0.529787234043
gmm,470,0.514893617021
kernel k-groups,470,0.851063829787
k-means,490,0.634693877551
gmm,490,0.538775510204
kernel k-groups,490,0.834693877551
k-means,510,0.535294117647
gmm,510,0.552941176471
kernel k-groups,510,0.833333333333
k-means,530,0.501886792453
gmm,530,0.524528301887
kernel k-groups,530,0.832075471698
k-means,550,0.529090909091
gmm,550,0.503636363636
kernel k-groups,550,0.850909090909
k-means,570,0.505263157895
gmm,570,0.514035087719
kernel k-groups,570,0.845614035088
k-means,590,0.535593220339
gmm,590,0.545762711864
kernel k-groups,590,0.861016949153
k-means,610,0.534426229508
gmm,610,0.53606557377
kernel k-groups,610,0.859016393443
k-means,630,0.519047619048
gmm,630,0.542857142857
kernel k-groups,630,0.84126984127
k-means,650,0.503076923077
gmm,650,0.503076923077
kernel k-groups,650,0.832307692308
k-means,670,0.529850746269
gmm,670,0.537313432836
kernel k-groups,670,0.84776119403
k-means,690,0.523188405797
gmm,690,0.531884057971
kernel k-groups,690,0.857971014493
k-means,710,0.504225352113
gmm,710,0.522535211268
kernel k-groups,710,0.82676056338
k-means,730,0.513698630137
gmm,730,0.513698630137
kernel k-groups,730,0.87397260274
k-means,750,0.541333333333
gmm,750,0.564
kernel k-groups,750,0.553333333333
k-means,770,0.51038961039
gmm,770,0.503896103896
kernel k-groups,770,0.85974025974
k-means,790,0.807594936709
gmm,790,0.792405063291
kernel k-groups,790,0.86582278481
k-means,10,0.7
gmm,10,0.7
kernel k-groups,10,0.7
k-means,30,0.733333333333
gmm,30,0.8
kernel k-groups,30,0.8
k-means,50,0.52
gmm,50,0.52
kernel k-groups,50,0.52
k-means,70,0.514285714286
gmm,70,0.514285714286
kernel k-groups,70,0.514285714286
k-means,90,0.533333333333
gmm,90,0.555555555556
kernel k-groups,90,0.833333333333
k-means,110,0.509090909091
gmm,110,0.509090909091
kernel k-groups,110,0.536363636364
k-means,130,0.861538461538
gmm,130,0.784615384615
kernel k-groups,130,0.846153846154
k-means,150,0.866666666667
gmm,150,0.773333333333
kernel k-groups,150,0.866666666667
k-means,170,0.547058823529
gmm,170,0.529411764706
kernel k-groups,170,0.858823529412
k-means,190,0.863157894737
gmm,190,0.752631578947
kernel k-groups,190,0.894736842105
k-means,210,0.528571428571
gmm,210,0.504761904762
kernel k-groups,210,0.509523809524
k-means,230,0.708695652174
gmm,230,0.569565217391
kernel k-groups,230,0.865217391304
k-means,250,0.536
